,T1,T2,Q1,time,run
104,54.382,30.953,100.0,1684955449.093912,0.0
105,54.672,31.018,100.0,1684955450.3059242,0.0
106,54.994,31.179,100.0,1684955451.518341,0.0
107,55.381,31.146,100.0,1684955452.7310731,0.0
108,55.445,31.92,100.0,1684955453.9432395,0.0
109,55.703,31.501,100.0,1684955455.1554384,0.0
110,55.993,31.694,100.0,1684955456.3676581,0.0
111,56.315,31.855,100.0,1684955457.5801294,0.0
112,56.605,31.984,100.0,1684955458.7922573,0.0
113,56.734,32.146,100.0,1684955460.0047083,0.0
114,56.896,32.146,100.0,1684955461.217073,0.0
115,57.314,32.468,100.0,1684955462.428997,0.0
116,57.54,32.178,100.0,1684955463.6418374,0.0
117,57.604,32.436,100.0,1684955464.8537178,0.0
118,57.733,32.79,100.0,1684955466.0663,0.0
119,57.959,33.016,100.0,1684955467.2784934,0.0
120,58.185,32.887,100.0,1684955468.4907367,0.0
121,58.539,33.048,100.0,1684955469.833511,0.0
122,58.604,33.08,100.0,1684955471.0457962,0.0
123,58.926,33.112,100.0,1684955472.258,0.0
124,59.184,33.048,100.0,1684955473.4702692,0.0
125,59.409,33.628,100.0,1684955474.6826994,0.0
126,59.603,33.886,100.0,1684955475.8951876,0.0
127,59.828,34.144,100.0,1684955477.1079104,0.0
128,60.118,33.918,100.0,1684955478.3201394,0.0
129,60.279,34.434,100.0,1684955479.53273,0.0
130,60.473,34.401,100.0,1684955480.7453077,0.0
131,60.859,34.208,100.0,1684955481.957665,0.0
132,60.892,34.434,100.0,1684955483.1700304,0.0
133,61.149,34.724,100.0,1684955484.382379,0.0
134,61.311,34.595,100.0,1684955485.5943182,0.0
135,61.504,34.627,100.0,1684955486.8065476,0.0
136,61.729,35.014,100.0,1684955488.0182261,0.0
137,61.729,34.917,100.0,1684955489.2306108,0.0
138,62.148,35.207,100.0,1684955490.4428089,0.0
139,62.116,35.4,100.0,1684955491.6549668,0.0
140,62.406,35.4,100.0,1684955492.867691,0.0
141,62.503,35.658,100.0,1684955494.0796626,0.0
142,62.793,35.626,100.0,1684955495.2918665,0.0
143,62.761,35.529,100.0,1684955496.5041535,0.0
144,63.019,35.723,100.0,1684955497.7168918,0.0
145,63.083,35.98,100.0,1684955498.9294739,0.0
146,63.341,36.142,100.0,1684955500.1418517,0.0
147,63.438,36.271,100.0,1684955501.353917,0.0
148,63.663,36.399,100.0,1684955502.5660548,0.0
149,63.728,36.528,100.0,1684955503.7788444,0.0
150,63.985,36.657,100.0,1684955504.9906483,0.0
151,64.05,36.625,100.0,1684955506.3328097,0.0
152,64.34,36.979,100.0,1684955507.5444937,0.0
153,64.372,36.883,100.0,1684955508.7566106,0.0
154,64.598,37.141,100.0,1684955509.9684863,0.0
155,64.694,37.334,100.0,1684955511.1801257,0.0
156,65.049,37.27,100.0,1684955512.392183,0.0
157,65.049,37.624,100.0,1684955513.6037557,0.0
158,65.307,37.688,100.0,1684955514.8160574,0.0
159,65.597,37.656,100.0,1684955516.027824,0.0
160,65.629,37.914,100.0,1684955517.2396514,0.0
161,65.983,37.914,100.0,1684955518.451384,0.0
162,66.016,38.043,100.0,1684955519.663376,0.0
163,66.177,38.301,100.0,1684955520.8752565,0.0
164,66.273,38.333,100.0,1684955522.087049,0.0
165,66.531,38.559,100.0,1684955523.2985225,0.0
166,66.596,38.623,100.0,1684955524.5105343,0.0
167,66.757,38.655,100.0,1684955525.7224216,0.0
168,66.95,38.849,100.0,1684955526.934363,0.0
169,66.982,38.945,100.0,1684955528.14597,0.0
170,67.305,39.074,100.0,1684955529.3578405,0.0
171,67.498,39.332,100.0,1684955530.569707,0.0
172,67.627,39.139,100.0,1684955531.7820559,0.0
173,67.627,39.558,100.0,1684955532.9935086,0.0
174,67.885,39.525,100.0,1684955534.2053008,0.0
175,67.853,40.105,100.0,1684955535.416984,0.0
176,68.271,39.815,100.0,1684955536.6288512,0.0
177,68.271,39.88,100.0,1684955537.8408825,0.0
178,68.239,39.912,100.0,1684955539.0524995,0.0
179,68.562,40.041,100.0,1684955540.2645655,0.0
180,68.594,40.234,100.0,1684955541.4767723,0.0
181,68.529,40.17,100.0,1684955542.818337,0.0
182,68.819,40.234,100.0,1684955544.0301034,0.0
183,68.916,39.977,100.0,1684955545.2416213,0.0
184,68.884,40.524,100.0,1684955546.4534326,0.0
185,69.142,40.557,100.0,1684955547.6657782,0.0
186,69.174,40.17,100.0,1684955548.877676,0.0
187,69.271,40.847,100.0,1684955550.0890107,0.0
188,69.464,40.75,100.0,1684955551.300845,0.0
189,69.528,40.976,100.0,1684955552.5129025,0.0
190,69.786,40.847,100.0,1684955553.7246203,0.0
191,70.141,41.169,100.0,1684955554.9364538,0.0
192,70.012,41.459,100.0,1684955556.1481524,0.0
193,70.205,41.459,100.0,1684955557.3598778,0.0
194,70.205,41.362,100.0,1684955558.571951,0.0
195,70.463,41.781,100.0,1684955559.783845,0.0
196,70.495,41.813,100.0,1684955560.9956012,0.0
197,70.624,41.846,100.0,1684955562.2071862,0.0
198,70.817,42.748,100.0,1684955563.419094,0.0
199,70.85,42.071,100.0,1684955564.6308196,0.0
200,71.075,42.104,100.0,1684955565.8429008,0.0
201,71.107,41.975,100.0,1684955567.0548334,0.0
202,71.172,42.555,100.0,1684955568.2665505,0.0
203,71.397,42.49,100.0,1684955569.4780085,0.0
204,71.494,42.49,100.0,1684955570.690331,0.0
205,71.269,42.619,100.0,1684955571.902692,0.0
